Link,Tipo,Nome do Evento,Escola,Área,Duração
https://unisinos.br/lab/cursos/midias-e-educacao-as-linguagens-da-tv-do-cinema-e-das-tecnologias-digitais-ex920086-00013-1505,MOOCs,"Mídias e Educação: As Linguagens da Tv, do Cinema e das Tecnologias Digitais",Escola,Indústria Criativa,16 horas
https://unisinos.br/lab/cursos/responsabilidade-social-empresarial-ex920087-00014-1505,MOOCs,Responsabilidade Social Empresarial,Escola,Gestão e Negócios,16 horas
https://unisinos.br/lab/cursos/empreendedorismo-e-plano-de-negocio-ex920089-00013-1505,MOOCs,Empreendedorismo e Plano de Negócio,Gestão e Negócios,Não especificada,20 horas
https://unisinos.br/lab/cursos/inovacao-orientada-pelo-design-ex920090-00013-1505,MOOCs,Inovação Orientada pelo Design,Indústria Criativa,Não especificada,40 horas
https://unisinos.br/lab/cursos/lideranca-os-desafios-ex920091-00013-1505,MOOCs,Liderança: os Desafios,Gestão e Negócios,Não especificada,20 horas
https://unisinos.br/lab/cursos/linguagens-artisticas-cultura-e-educacao-ex920092-00013-1505,MOOCs,"Linguagens Artísticas, Cultura e Educação",Humanidades,Não especificada,24 horas
https://unisinos.br/lab/cursos/cultura-e-integracao-no-ambito-global-ex920094-00013-1505,MOOCs,Cultura e Integração no Âmbito Global,Humanidades,Não especificada,16 horas
https://unisinos.br/lab/cursos/financas-pessoais-ex920170-00008-1505,MOOCs,Finanças Pessoais,Gestão e Negócios,Não especificada,8 horas
https://unisinos.br/lab/cursos/caminhos-um-jeito-de-transformar-o-mundo-ex920377-00007-1505,MOOCs,Caminhos: um jeito de transformar o mundo,Gestão e Negócios,Não especificada,8 horas
https://unisinos.br/lab/cursos/fake-news-historia-contexto-e-desafios-da-desinformacao-nas-midias-digitais-ex920961-00007-1505,MOOCs,"Fake News? História, Contexto e Desafios da Desinformação nas Mídias Digitais",Indústria Criativa,Não especificada,15 horas
https://unisinos.br/lab/cursos/estrategia-global-da-uniao-europeia-e-os-paises-de-lingua-portuguesa-ex921232-00001-1505,MOOCs,Estratégia Global da União Europeia e os Países de Língua Portuguesa,Humanidades,Não especificada,20 horas
https://unisinos.br/lab/cursos/equipes-esportivas-futsal-masculino-ex124850-00002-1505,Prática de Extensão,Equipes Esportivas – Futsal Masculino,Escola,Saúde,20 horas
https://unisinos.br/lab/cursos/equipes-esportivas-futsal-feminino-ex124851-00002-1505,Prática de Extensão,Equipes Esportivas – Futsal Feminino,Escola,Saúde,20 horas
https://unisinos.br/lab/cursos/equipes-esportivas-basquete-misto-ex125072-00006-1505,Prática de Extensão,Equipes Esportivas – Basquete Misto,Escola,Saúde,20 horas
https://unisinos.br/lab/cursos/equipes-esportivas-danca-misto-ex125312-00001-1505,Prática de Extensão,Equipes Esportivas – Dança Misto,Institucional,Não especificada,20 horas
https://unisinos.br/lab/cursos/equipes-esportivas-lutas-misto-ex125313-00001-1505,Prática de Extensão,Equipes Esportivas – Lutas Misto,Escola,Saúde,20 horas
https://unisinos.br/lab/cursos/equipes-esportivas-volei-feminino-ex125315-00001-1505,Prática de Extensão,Equipes Esportivas – Vôlei Feminino,Institucional,Não especificada,20 horas
https://unisinos.br/lab/cursos/equipes-esportivas-volei-masculino-ex125318-00001-1505,Prática de Extensão,Equipes Esportivas – Vôlei Masculino,Escola,Saúde,20 horas
https://unisinos.br/lab/cursos/equipes-esportivas-esporte-da-diversidade-ex125324-00001-1505,Prática de Extensão,Equipes Esportivas - Esporte da Diversidade,Escola,Saúde,20 horas
https://unisinos.br/lab/cursos/prova-de-proficiencia-em-lingua-espanhola-mobilidade-ex920759-00019-1505,Cursos de Idioma,Prova de Proficiência em Língua Espanhola - Mobilidade,Escola,Indústria Criativa,3h30 minutos
https://unisinos.br/lab/cursos/prova-de-proficiencia-em-lingua-inglesa-mobilidade-ex920760-00027-1505,Cursos de Idioma,Prova de Proficiência em Língua Inglesa - Mobilidade,Escola,Indústria Criativa,3h30 minutos
